# Generator: analysis/compute_dependency.py --json
# Git commit: ba333cfc8d54e24984076b44d043a05be139e979
# SHA-256: e73025994bab6b5b59fe84235fba2bd23f40e6a4dfc562f8d6c19ddaaa88a86a
# Generated: 2026-07-04
# Tool version: 1.0.0
# Columns: block (0-1), round (0-63), op_type (S1|ch|temp1|S0|maj|temp2|e_new|a_new), is_invariant (1=invariant, 0=nonce-dependent)
#
block,round,op_type,is_invariant
0,0,S1,1
0,0,ch,1
0,0,temp1,1
0,0,S0,1
0,0,maj,1
0,0,temp2,1
0,0,e_new,1
0,0,a_new,1
0,1,S1,1
0,1,ch,1
0,1,temp1,1
0,1,S0,1
0,1,maj,1
0,1,temp2,1
0,1,e_new,1
0,1,a_new,1
0,2,S1,1
0,2,ch,1
0,2,temp1,1
0,2,S0,1
0,2,maj,1
0,2,temp2,1
0,2,e_new,1
0,2,a_new,1
0,3,S1,1
0,3,ch,1
0,3,temp1,1
0,3,S0,1
0,3,maj,1
0,3,temp2,1
0,3,e_new,1
0,3,a_new,1
0,4,S1,1
0,4,ch,1
0,4,temp1,1
0,4,S0,1
0,4,maj,1
0,4,temp2,1
0,4,e_new,1
0,4,a_new,1
0,5,S1,1
0,5,ch,1
0,5,temp1,1
0,5,S0,1
0,5,maj,1
0,5,temp2,1
0,5,e_new,1
0,5,a_new,1
0,6,S1,1
0,6,ch,1
0,6,temp1,1
0,6,S0,1
0,6,maj,1
0,6,temp2,1
0,6,e_new,1
0,6,a_new,1
0,7,S1,1
0,7,ch,1
0,7,temp1,1
0,7,S0,1
0,7,maj,1
0,7,temp2,1
0,7,e_new,1
0,7,a_new,1
0,8,S1,1
0,8,ch,1
0,8,temp1,1
0,8,S0,1
0,8,maj,1
0,8,temp2,1
0,8,e_new,1
0,8,a_new,1
0,9,S1,1
0,9,ch,1
0,9,temp1,1
0,9,S0,1
0,9,maj,1
0,9,temp2,1
0,9,e_new,1
0,9,a_new,1
0,10,S1,1
0,10,ch,1
0,10,temp1,1
0,10,S0,1
0,10,maj,1
0,10,temp2,1
0,10,e_new,1
0,10,a_new,1
0,11,S1,1
0,11,ch,1
0,11,temp1,1
0,11,S0,1
0,11,maj,1
0,11,temp2,1
0,11,e_new,1
0,11,a_new,1
0,12,S1,1
0,12,ch,1
0,12,temp1,1
0,12,S0,1
0,12,maj,1
0,12,temp2,1
0,12,e_new,1
0,12,a_new,1
0,13,S1,1
0,13,ch,1
0,13,temp1,1
0,13,S0,1
0,13,maj,1
0,13,temp2,1
0,13,e_new,1
0,13,a_new,1
0,14,S1,1
0,14,ch,1
0,14,temp1,1
0,14,S0,1
0,14,maj,1
0,14,temp2,1
0,14,e_new,1
0,14,a_new,1
0,15,S1,1
0,15,ch,1
0,15,temp1,1
0,15,S0,1
0,15,maj,1
0,15,temp2,1
0,15,e_new,1
0,15,a_new,1
0,16,S1,1
0,16,ch,1
0,16,temp1,1
0,16,S0,1
0,16,maj,1
0,16,temp2,1
0,16,e_new,1
0,16,a_new,1
0,17,S1,1
0,17,ch,1
0,17,temp1,1
0,17,S0,1
0,17,maj,1
0,17,temp2,1
0,17,e_new,1
0,17,a_new,1
0,18,S1,1
0,18,ch,1
0,18,temp1,1
0,18,S0,1
0,18,maj,1
0,18,temp2,1
0,18,e_new,1
0,18,a_new,1
0,19,S1,1
0,19,ch,1
0,19,temp1,1
0,19,S0,1
0,19,maj,1
0,19,temp2,1
0,19,e_new,1
0,19,a_new,1
0,20,S1,1
0,20,ch,1
0,20,temp1,1
0,20,S0,1
0,20,maj,1
0,20,temp2,1
0,20,e_new,1
0,20,a_new,1
0,21,S1,1
0,21,ch,1
0,21,temp1,1
0,21,S0,1
0,21,maj,1
0,21,temp2,1
0,21,e_new,1
0,21,a_new,1
0,22,S1,1
0,22,ch,1
0,22,temp1,1
0,22,S0,1
0,22,maj,1
0,22,temp2,1
0,22,e_new,1
0,22,a_new,1
0,23,S1,1
0,23,ch,1
0,23,temp1,1
0,23,S0,1
0,23,maj,1
0,23,temp2,1
0,23,e_new,1
0,23,a_new,1
0,24,S1,1
0,24,ch,1
0,24,temp1,1
0,24,S0,1
0,24,maj,1
0,24,temp2,1
0,24,e_new,1
0,24,a_new,1
0,25,S1,1
0,25,ch,1
0,25,temp1,1
0,25,S0,1
0,25,maj,1
0,25,temp2,1
0,25,e_new,1
0,25,a_new,1
0,26,S1,1
0,26,ch,1
0,26,temp1,1
0,26,S0,1
0,26,maj,1
0,26,temp2,1
0,26,e_new,1
0,26,a_new,1
0,27,S1,1
0,27,ch,1
0,27,temp1,1
0,27,S0,1
0,27,maj,1
0,27,temp2,1
0,27,e_new,1
0,27,a_new,1
0,28,S1,1
0,28,ch,1
0,28,temp1,1
0,28,S0,1
0,28,maj,1
0,28,temp2,1
0,28,e_new,1
0,28,a_new,1
0,29,S1,1
0,29,ch,1
0,29,temp1,1
0,29,S0,1
0,29,maj,1
0,29,temp2,1
0,29,e_new,1
0,29,a_new,1
0,30,S1,1
0,30,ch,1
0,30,temp1,1
0,30,S0,1
0,30,maj,1
0,30,temp2,1
0,30,e_new,1
0,30,a_new,1
0,31,S1,1
0,31,ch,1
0,31,temp1,1
0,31,S0,1
0,31,maj,1
0,31,temp2,1
0,31,e_new,1
0,31,a_new,1
0,32,S1,1
0,32,ch,1
0,32,temp1,1
0,32,S0,1
0,32,maj,1
0,32,temp2,1
0,32,e_new,1
0,32,a_new,1
0,33,S1,1
0,33,ch,1
0,33,temp1,1
0,33,S0,1
0,33,maj,1
0,33,temp2,1
0,33,e_new,1
0,33,a_new,1
0,34,S1,1
0,34,ch,1
0,34,temp1,1
0,34,S0,1
0,34,maj,1
0,34,temp2,1
0,34,e_new,1
0,34,a_new,1
0,35,S1,1
0,35,ch,1
0,35,temp1,1
0,35,S0,1
0,35,maj,1
0,35,temp2,1
0,35,e_new,1
0,35,a_new,1
0,36,S1,1
0,36,ch,1
0,36,temp1,1
0,36,S0,1
0,36,maj,1
0,36,temp2,1
0,36,e_new,1
0,36,a_new,1
0,37,S1,1
0,37,ch,1
0,37,temp1,1
0,37,S0,1
0,37,maj,1
0,37,temp2,1
0,37,e_new,1
0,37,a_new,1
0,38,S1,1
0,38,ch,1
0,38,temp1,1
0,38,S0,1
0,38,maj,1
0,38,temp2,1
0,38,e_new,1
0,38,a_new,1
0,39,S1,1
0,39,ch,1
0,39,temp1,1
0,39,S0,1
0,39,maj,1
0,39,temp2,1
0,39,e_new,1
0,39,a_new,1
0,40,S1,1
0,40,ch,1
0,40,temp1,1
0,40,S0,1
0,40,maj,1
0,40,temp2,1
0,40,e_new,1
0,40,a_new,1
0,41,S1,1
0,41,ch,1
0,41,temp1,1
0,41,S0,1
0,41,maj,1
0,41,temp2,1
0,41,e_new,1
0,41,a_new,1
0,42,S1,1
0,42,ch,1
0,42,temp1,1
0,42,S0,1
0,42,maj,1
0,42,temp2,1
0,42,e_new,1
0,42,a_new,1
0,43,S1,1
0,43,ch,1
0,43,temp1,1
0,43,S0,1
0,43,maj,1
0,43,temp2,1
0,43,e_new,1
0,43,a_new,1
0,44,S1,1
0,44,ch,1
0,44,temp1,1
0,44,S0,1
0,44,maj,1
0,44,temp2,1
0,44,e_new,1
0,44,a_new,1
0,45,S1,1
0,45,ch,1
0,45,temp1,1
0,45,S0,1
0,45,maj,1
0,45,temp2,1
0,45,e_new,1
0,45,a_new,1
0,46,S1,1
0,46,ch,1
0,46,temp1,1
0,46,S0,1
0,46,maj,1
0,46,temp2,1
0,46,e_new,1
0,46,a_new,1
0,47,S1,1
0,47,ch,1
0,47,temp1,1
0,47,S0,1
0,47,maj,1
