# Generator: experiments/RQ-004/precompute_boundary.py --test-nonces 100
# Git commit: ba333cfc8d54e24984076b44d043a05be139e979
# SHA-256: 5bf7d744dd1b1e8138ae319ca35eabb9670e1e0b99fc7b4bcbbf50ed83e55790
# Generated: 2026-07-04
# Tool version: 1.0.0
# Columns: nonce (0-99), digest_match (1=pass), schedule_ops_recomputed (46 words * ~5 ops), compression_ops_saved (29 net new beyond midstate), net_ops (negative = loss)
#
nonce,digest_match,schedule_ops_recomputed,compression_ops_saved,net_ops
0,1,230,29,-201
1,1,230,29,-201
2,1,230,29,-201
3,1,230,29,-201
4,1,230,29,-201
5,1,230,29,-201
6,1,230,29,-201
7,1,230,29,-201
8,1,230,29,-201
9,1,230,29,-201
10,1,230,29,-201
11,1,230,29,-201
12,1,230,29,-201
13,1,230,29,-201
14,1,230,29,-201
15,1,230,29,-201
16,1,230,29,-201
17,1,230,29,-201
18,1,230,29,-201
19,1,230,29,-201
20,1,230,29,-201
21,1,230,29,-201
22,1,230,29,-201
23,1,230,29,-201
24,1,230,29,-201
25,1,230,29,-201
26,1,230,29,-201
27,1,230,29,-201
28,1,230,29,-201
29,1,230,29,-201
30,1,230,29,-201
31,1,230,29,-201
32,1,230,29,-201
33,1,230,29,-201
34,1,230,29,-201
35,1,230,29,-201
36,1,230,29,-201
37,1,230,29,-201
38,1,230,29,-201
39,1,230,29,-201
40,1,230,29,-201
41,1,230,29,-201
42,1,230,29,-201
43,1,230,29,-201
44,1,230,29,-201
45,1,230,29,-201
46,1,230,29,-201
47,1,230,29,-201
48,1,230,29,-201
49,1,230,29,-201
50,1,230,29,-201
51,1,230,29,-201
52,1,230,29,-201
53,1,230,29,-201
54,1,230,29,-201
55,1,230,29,-201
56,1,230,29,-201
57,1,230,29,-201
58,1,230,29,-201
59,1,230,29,-201
60,1,230,29,-201
61,1,230,29,-201
62,1,230,29,-201
63,1,230,29,-201
64,1,230,29,-201
65,1,230,29,-201
66,1,230,29,-201
67,1,230,29,-201
68,1,230,29,-201
69,1,230,29,-201
70,1,230,29,-201
71,1,230,29,-201
72,1,230,29,-201
73,1,230,29,-201
74,1,230,29,-201
75,1,230,29,-201
76,1,230,29,-201
77,1,230,29,-201
78,1,230,29,-201
79,1,230,29,-201
80,1,230,29,-201
81,1,230,29,-201
82,1,230,29,-201
83,1,230,29,-201
84,1,230,29,-201
85,1,230,29,-201
86,1,230,29,-201
87,1,230,29,-201
88,1,230,29,-201
89,1,230,29,-201
90,1,230,29,-201
91,1,230,29,-201
92,1,230,29,-201
93,1,230,29,-201
94,1,230,29,-201
95,1,230,29,-201
96,1,230,29,-201
97,1,230,29,-201
98,1,230,29,-201
99,1,230,29,-201
